province_code,province_name,city_name,city_code,Latitude,Longitude,city_name_zh,city_name_zh2,province_name_zh,province_name_en,,,,,,,
110000 ,Beijing,Beijing,110000,39.9167 ,116.3833 ,北京,北京,北京,Beijing Municipality,,,,,,,
120000 ,Tianjing,Tianjing,120000,39.1333 ,117.1833 ,天津,天津,天津,Tianjin Municipality,,,,,,,
130000 ,Hebei Province,Shijiazhuang,130100,38.0428 ,114.5149 ,石家庄,石家庄,河北,Hebei Province,,,,,,,
130000 ,Hebei Province,Tangshan,130200,39.6333 ,118.1833 ,唐山,唐山,河北,Hebei Province,,,,,,,
130000 ,Hebei Province,Qinhuangdao,130300,39.9317 ,119.5883 ,秦皇岛,秦皇岛,河北,Hebei Province,,,,,,,
130000 ,Hebei Province,Handan,130400,36.6006 ,114.4678 ,邯郸,邯郸,河北,Hebei Province,,,,,,,
130000 ,Hebei Province,Xingtai,130500,37.0631 ,114.4942 ,邢台,邢台,河北,Hebei Province,,,,,,,
130000 ,Hebei Province,Baoding,130600,38.8511 ,115.4903 ,保定,保定,河北,Hebei Province,,,,,,,
130000 ,Hebei Province,Zhangjiakou,130700,40.8100 ,114.8794 ,张家口,张家口,河北,Hebei Province,,,,,,,
130000 ,Hebei Province,Chengde,130800,40.9725 ,117.9361 ,承德,承德,河北,Hebei Province,,,,,,,
130000 ,Hebei Province,Cangzhou,130900,38.3167 ,116.8667 ,沧州,沧州,河北,Hebei Province,,,,,,,
130000 ,Hebei Province,Langfang,131000,39.5097 ,116.6947 ,廊坊,廊坊,河北,Hebei Province,,,,,,,
130000 ,Hebei Province,Hengshui,131100,37.7322 ,115.6702 ,衡水,衡水,河北,Hebei Province,,,,,,,
140000 ,Shanxi Province,Taiyuan,140100,37.8715 ,112.5512 ,太原,太原,山西,Shanxi Province,,,,,,,
140000 ,Shanxi Province,Datong,140200,40.0833 ,113.3000 ,大同,大同,山西,Shanxi Province,,,,,,,
140000 ,Shanxi Province,Yangquan,140300,37.8575 ,113.5633 ,阳泉,阳泉,山西,Shanxi Province,,,,,,,
140000 ,Shanxi Province,Changzhi,140400,35.2089 ,111.7389 ,长治,长治,山西,Shanxi Province,,,,,,,
140000 ,Shanxi Province,Jincheng,140500,35.5022 ,112.8328 ,晋城,晋城,山西,Shanxi Province,,,,,,,
140000 ,Shanxi Province,Shuozhou,140600,39.3316 ,112.4328 ,朔州,朔州,山西,Shanxi Province,,,,,,,
140000 ,Shanxi Province,Jinzhong,140700,37.6833 ,112.7333 ,晋中,晋中,山西,Shanxi Province,,,,,,,
140000 ,Shanxi Province,Yuncheng,140800,35.0264 ,111.0075 ,运城,运城,山西,Shanxi Province,,,,,,,
140000 ,Shanxi Province,Xinzhou,140900,38.4092 ,112.7333 ,忻州,忻州,山西,Shanxi Province,,,,,,,
140000 ,Shanxi Province,Linfen,141000,36.0880 ,111.5190 ,临汾,临汾,山西,Shanxi Province,,,,,,,
140000 ,Shanxi Province,lvliang,141100,37.5183 ,111.1443 ,吕梁,吕梁,山西,Shanxi Province,,,,,,,
150000 ,Inner Mongolia Autonomous Region,Huhehaote,150100,40.8106 ,111.6522 ,呼和浩特,呼和浩特,内蒙古,Inner Mongolia Autonomous Region,,,,,,,
150000 ,Inner Mongolia Autonomous Region,Baotou,150200,40.6500 ,109.8333 ,包头,包头,内蒙古,Inner Mongolia Autonomous Region,,,,,,,
150000 ,Inner Mongolia Autonomous Region,Wuhai,150300,39.8634 ,106.8146 ,乌海,乌海,内蒙古,Inner Mongolia Autonomous Region,,,,,,,
150000 ,Inner Mongolia Autonomous Region,Chifeng,150400,42.2596 ,118.8886 ,赤峰,赤峰,内蒙古,Inner Mongolia Autonomous Region,,,,,,,
150000 ,Inner Mongolia Autonomous Region,Tongliao,150500,43.6125 ,122.2653 ,通辽,通辽,内蒙古,Inner Mongolia Autonomous Region,,,,,,,
150000 ,Inner Mongolia Autonomous Region,Eerduosi,150600,39.6086 ,109.7816 ,鄂尔多斯,鄂尔多斯,内蒙古,Inner Mongolia Autonomous Region,,,,,,,
150000 ,Inner Mongolia Autonomous Region,Hulunbeier,150700,49.2116 ,119.7657 ,呼伦贝尔,呼伦贝尔,内蒙古,Inner Mongolia Autonomous Region,,,,,,,
150000 ,Inner Mongolia Autonomous Region,Bayanzhouer,150800,40.7432 ,107.3877 ,巴彦淖尔,巴彦淖尔,内蒙古,Inner Mongolia Autonomous Region,,,,,,,
150000 ,Inner Mongolia Autonomous Region,Wulanchabu,150900,40.9930 ,113.1330 ,乌兰察布,乌兰察布,内蒙古,Inner Mongolia Autonomous Region,,,,,,,
150000 ,Inner Mongolia Autonomous Region,Xinganmeng,152200,47.5100 ,122.4800 ,兴安盟,兴安盟,内蒙古,Inner Mongolia Autonomous Region,,,,,,,
150000 ,Inner Mongolia Autonomous Region,Alashanmeng,152900,38.8519 ,105.7290 ,阿拉善盟,阿拉善盟,内蒙古,Inner Mongolia Autonomous Region,,,,,,,
150000 ,Inner Mongolia Autonomous Region,Xilin,152500,43.9353 ,116.0514 ,锡林郭勒盟,锡林郭勒盟,内蒙古,Inner Mongolia Autonomous Region,,,,,,,
210000 ,Liaoning Province,Shenyang,210100,41.8000 ,123.4000 ,沈阳,沈阳,辽宁,Liaoning Province,,,,,,,
210000 ,Liaoning Province,Dalian,210200,38.9122 ,121.6022 ,大连,大连,辽宁,Liaoning Province,,,,,,,
210000 ,Liaoning Province,Anshan,210300,41.1236 ,122.9900 ,鞍山,鞍山,辽宁,Liaoning Province,,,,,,,
210000 ,Liaoning Province,Fushun,210400,41.8667 ,123.9000 ,抚顺,抚顺,辽宁,Liaoning Province,,,,,,,
210000 ,Liaoning Province,Benxi,210500,41.2886 ,123.7650 ,本溪,本溪,辽宁,Liaoning Province,,,,,,,
210000 ,Liaoning Province,Dandong,210600,40.1292 ,124.3947 ,丹东,丹东,辽宁,Liaoning Province,,,,,,,
210000 ,Liaoning Province,Jinzhou,210700,41.1078 ,121.1417 ,锦州,锦州,辽宁,Liaoning Province,,,,,,,
210000 ,Liaoning Province,Yingkou,210800,40.6648 ,122.2283 ,营口,营口,辽宁,Liaoning Province,,,,,,,
210000 ,Liaoning Province,Fuxin,210900,42.0156 ,121.6590 ,阜新,阜新,辽宁,Liaoning Province,,,,,,,
210000 ,Liaoning Province,Liaoyang,211000,41.2790 ,123.1760 ,辽阳,辽阳,辽宁,Liaoning Province,,,,,,,
210000 ,Liaoning Province,Panjin,211100,41.1167 ,122.0500 ,盘锦,盘锦,辽宁,Liaoning Province,,,,,,,
210000 ,Liaoning Province,Tieling,211200,42.2931 ,123.8414 ,铁岭,铁岭,辽宁,Liaoning Province,,,,,,,
210000 ,Liaoning Province,Chaoyang ,211300,41.5703 ,120.4586 ,朝阳,朝阳,辽宁,Liaoning Province,,,,,,,
210000 ,Liaoning Province,Huludao,211400,40.6556 ,120.9990 ,葫芦岛,葫芦岛,辽宁,Liaoning Province,,,,,,,
220000 ,Jilin Province,Changchun,220100,43.8800 ,125.3228 ,长春,长春,吉林,Jilin Province,,,,,,,
220000 ,Jilin Province,Jilin,220200,43.8508 ,126.5603 ,吉林,吉林,吉林,Jilin Province,,,,,,,
220000 ,Jilin Province,Siping,220300,43.1580 ,124.3506 ,四平,四平,吉林,Jilin Province,,,,,,,
220000 ,Jilin Province,Liaoyuan,220400,42.9036 ,125.1358 ,辽源,辽源,吉林,Jilin Province,,,,,,,
220000 ,Jilin Province,Tonghua,220500,41.7283 ,125.9397 ,通化,通化,吉林,Jilin Province,,,,,,,
220000 ,Jilin Province,Baishan,220600,41.9385 ,126.4197 ,白山,白山,吉林,Jilin Province,,,,,,,
220000 ,Jilin Province,Songyuan,220700,45.1411 ,124.8251 ,松原,松原,吉林,Jilin Province,,,,,,,
220000 ,Jilin Province,Baicheng,220800,45.6190 ,122.8387 ,白城,白城,吉林,Jilin Province,,,,,,,
220000 ,Jilin Province,Yanbian,222400,42.8912 ,129.5089 ,延边朝鲜族自治州,延边,吉林,Jilin Province,,,,,,,
230000 ,Heilongjiang Province,Haerbin,230100,45.8022 ,126.5350 ,哈尔滨,哈尔滨,黑龙江,Heilongjiang Province,,,,,,,
230000 ,Heilongjiang Province,Qiqihaer,230200,47.3543 ,123.9175 ,齐齐哈尔,齐齐哈尔,黑龙江,Heilongjiang Province,,,,,,,
230000 ,Heilongjiang Province,Jixi,230300,45.2938 ,131.0210 ,鸡西,鸡西,黑龙江,Heilongjiang Province,,,,,,,
