Place Name,Latitude,Longitude,city,Province,city_zh,province_zh
"Zhangjiajie, Hunan",29.117001,110.478996,Zhangjiajie,Hunan,张家界,湖南省
"Xingyi, Guizhou",25.091999,104.894997,Xingyi,Guizhou,兴义,贵州省
"Foshan, Gundong",23.016666,113.116669,Foshan,Gundong,佛山,广东省
"Anshan, Liaoning",41.116669,122.98333,Anshan,Liaoning,鞍山,辽宁省
"Datong, Shanxi",40.083332,113.300003,Datong,Shanxi,大同,山西省
"Luoyang, Henan",34.669724,112.442223,Luoyang,Henan,洛阳,河南省
"Baotou, Inner Mongolia",40.650002,109.83333600000002,Baotou,Mongolia,包头,内蒙古自治区
"Nanchang, Jiangxi",28.683332,115.883331,Nanchang,Jiangxi,南昌,江西省
"Guiyang, Guizhou",26.646999,106.629997,Guiyang,Guizhou,贵阳,贵州省
"Zibo, Shandong",36.783333,118.050003,Zibo,Shandong,淄博,山东省
"Tangshan, Hebei",39.631001,118.18,Tangshan,Hebei,唐山,河北省
"Changzhou, Jiangsu",31.811001,119.973999,Changzhou,Jiangsu,常州,江苏省
"Kunming, Yunnan",25.043333,102.706108,Kunming,Yunnan,昆明,云南省
"Nanning, Guangxi",22.816668,108.316666,Nanning,Guangxi,南宁,广西壮族自治区
"Fuzhou, Fujian",26.0753,119.308197,Fuzhou,Fujian,福州,福建省
"Changsha, Hunan",28.22800100000001,112.939003,Changsha,Hunan,长沙,湖南省
"Jinan, Shandong",36.666668,116.98333,Jinan,Shandong,济南,山东省
"Harbin, Heilongjiang",45.75,126.633331,Harbin,Heilongjiang,哈尔滨,黑龙江省
"Suzhou, Jiangsu",31.299999,120.599998,Suzhou,Jiangsu,苏州,江苏省
"Dalian, Liaoning",38.920834,121.639168,Dalian,Liaoning,大连,辽宁省
"Qingdao, Shandong",36.066898,120.382698,Qingdao,Shandong,青岛,山东省
"Shenyang, Liaoning",41.799999,123.400002,Shenyang,Liaoning,沈阳,辽宁省
"Hangzhou, Zhejiang",30.25,120.16666399999998,Hangzhou,Zhejiang,杭州,浙江省
"Nanjing, Jiangsu",32.049999,118.76667,Nanjing,Jiangsu,南京,江苏省
"Chengdu, Sichuan",30.657,104.066002,Chengdu,Sichuan,成都,四川省
"Wuhan, Hubei",30.583332,114.283333,Wuhan,Hubei,武汉,湖北省
Shanghai,31.224361,121.46917,Shanghai,Shanghai,上海,上海市
"Xuzhou, Jiangsu",34.205769000000004,117.284126,Xuzhou,Jiangsu,徐州,江苏省
"Zhengzhou, Henan",34.746613,113.625328,Zhengzhou,Henan,郑州,河南省
"Taiyuan, Shanxi",37.87146,112.551208,Taiyuan,Shanxi,太原,山西省
"Shijiazhuang, Hebei",38.042805,114.514893,Shijiazhuang,Hebei,石家庄,河北省
"Wuhu, Anhui",31.350012,118.429398,Wuhu,Anhui,芜湖,安徽省
"Lanzhou, Gansu",36.054871,103.828812,Lanzhou,Gansu,兰州,甘肃省
"Qiqihar, Heilongjiang",47.354347,123.918182,Qiqihar,Heilongjiang,齐齐哈尔,黑龙江省
"Changchun, Jilin",43.891262,125.331345,Changchun,Jilin,长春,吉林省
"Hohhot, Inner Mongolia",40.846333,111.733017,Hohhot,Mongolia,呼和浩特,内蒙古自治区
"Shenzhen, Guangdong",22.542883,114.062996,Shenzhen,Guangdong,深圳,广东省
"Xiamen, Fujian",24.479834,118.089424,Xiamen,Fujian,厦门,福建省
"Guangzhou, Guangdong",23.128994,113.25325,Guangzhou,Guangdong,广州,广东省
"Wenzhou, Zhejiang",27.994267,120.699364,Wenzhou,Zhejiang,温州,浙江省
"Chongqing, Chongqing",29.563009,106.551559,Chongqing,Chongqing,重庆,重庆市
"Urumqi, Xinjiang",43.825592,87.61685200000002,Urumqi,Xinjiang,乌鲁木齐,新疆维吾尔自治区
"Ningbo, Zhejiang",29.868336,121.543991,Ningbo,Zhejiang,宁波,浙江省
"Xi'an, Shaanxi",34.341568,108.940178,Xi'an,Shaanxi,西安,陕西省
"Haerbin, Heilongjiang",45.811573,126.546707,Haerbin,Heilongjiang,哈尔滨,黑龙江省
Macau,22.210928,113.552971,Macau,Macau,澳门,澳门特别行政区
